"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"	"FreqVir"	"FreqHost"	"Viral Quotient"
"1"	"VOG0002"	"Bacteria"	12	12	1	1	"major coat protein [n=4]; VIII protein [n=3]; VIII [n=2]; protein VIII [n=2]; No annotation provided [n=1]; "	"Mapped to: POG0002"	NA	0.0040322581	0.0012026458	0.7702640111
"2"	"VOG0005"	"Bacteria"	15	15	1	1	"phage assembly protein [n=6]; IV protein [n=3]; protein IV [n=2]; IV [n=2]; No annotation provided [n=1]; phage morphogenesis protein [n=1]; "	"Mapped to: POG0005"	"head protein"	0.0050403226	0.3377430347	0.0147041053
"3"	"VOG0006"	"Bacteria"	10	10	1	1	"Vpf491 [n=2]; Vpf504 [n=2]; RstR protein [n=1]; hypothetical protein [n=1]; minor capsid protein [n=1]; putative adsorption protein [n=1]; receptor-binding protein [n=1]; "	"Mapped to: POG0006"	"capsid"	0.0030241935	0.0020044097	0.6013983204
"4"	"VOG0007"	"Bacteria"	9	9	1	1	"putative minor coat protein [n=6]; putative minor capsid protein [n=1]; Vpf104 [n=1]; "	"Mapped to: POG0007"	"capsid"	0.0030241935	0.0050110243	0.3763673398
"5"	"VOG0008"	"Bacteria"	5	5	1	1	"hypothetical protein [n=4]; conserved hypothetical protein [n=1]; "	"Mapped to: POG0008"	NA	0.0016801075	0	1
"6"	"VOG0009"	"Bacteria"	9	9	1	1	"putative transcription regulator [n=4]; No annotation provided [n=3]; putative transcriptional regulator LysR family protein [n=1]; hypothetical protein [n=1]; "	"Mapped to: POG0009"	NA	0.002688172	0.0038083784	0.4137845235
"7"	"VOG0010"	"Bacteria"	23	23	4	4	"hypothetical protein [n=15]; No annotation provided [n=3]; 18.2K protein [n=1]; regulatory protein [n=1]; gp24, hypothetical protein [n=1]; putative regulator protein [n=1]; helix-turn-helix domain protein [n=1]; "	"Mapped to: POG0010"	NA	0.0060483871	0.0044097013	0.5783453766
"8"	"VOG0011"	"Bacteria"	5	5	1	1	"No annotation provided [n=2]; DNA primase [n=1]; hypothetical protein [n=1]; prim-VSK [n=1]; "	"Mapped to: POG0011"	"head protein"	0.0016801075	0.0004008819	0.8073599379
"9"	"VOG0012"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"Mapped to: POG0012"	NA	0.0010080645	0.0006013229	0.6263653484
"10"	"VOG0013"	"Bacteria"	25	24	1	1	"DNA replication initiation protein [n=8]; hypothetical protein [n=5]; RstA [n=4]; phage replication protein [n=3]; putative replication protein [n=1]; RstA protein [n=1]; Vpf402 [n=1]; No annotation provided [n=1]; putative phage DNA replicase [n=1]; "	"Mapped to: POG0013"	NA	0.0084005376	0.0162357186	0.3409827192
"11"	"VOG0014"	"Bacteria"	11	11	1	1	"hypothetical protein [n=9]; RstB protein [n=1]; Vpf117 [n=1]; "	"Mapped to: POG0014"	NA	0.0033602151	0.0030066146	0.5277689622
"12"	"VOG0015"	"Bacteria"	7	7	1	1	"putative major coat protein [n=2]; putative major coat protein precursor [n=2]; Vpf77 [n=1]; major capsid protein [n=1]; putative major capsid protein [n=1]; "	"Mapped to: POG0015"	"capsid"	0.001344086	0.0014030868	0.4892615475
"13"	"VOG0016"	"Bacteria"	41	40	1	3	"S-adenosyl-L-methionine hydrolase [n=13]; hypothetical protein [n=12]; putative S-adenosyl-L-methionine hydrolase [n=7]; gp0.3 [n=4]; S-adenosyl-L-methionine hydrolase-like protein [n=1]; S-adenosyl-L-methionine hydrolase,phage-associated [n=1]; Putative S-adenosyl-L-methionine hydrolase [n=1]; anti-restriction SAMase [n=1]; s-adenosyl-l-methionine hydrolase [n=1]; "	"Mapped to: POG0016"	NA	0.0144489247	0	1
"14"	"VOG0017"	"Bacteria"	15	15	1	1	"hypothetical protein [n=13]; 1.05 protein [n=1]; gene 1.05 protein [n=1]; "	"Mapped to: POG0017"	NA	0.0104166667	0	1
"15"	"VOG0018"	"Bacteria+Archaea"	495	494	3	17	"DNA ligase [n=230]; putative DNA ligase [n=65]; ATP-dependent DNA ligase [n=50]; putative ATP-dependent DNA ligase [n=26]; hypothetical protein [n=26]; gp30 DNA ligase [n=17]; No annotation provided [n=11]; putative ligase [n=6]; putative ATP-dependent DNA ligase protein [n=5]; ATP dependent DNA ligase [n=5]; gp1.3 [n=4]; DNA ligase, phage-associated [n=4]; putative ATP-dependent polynucleotide ligase [n=3]; predicted DNA ligase [n=3]; DNA ligase-like protein [n=3]; putative DNA ligase-product DNA complex-adenylate [n=2]; ATP dependent DNA ligase domain protein [n=2]; DNA ligase, ATP-dependent [n=2]; DNA Ligase [n=2]; DNA ligase [Escherichia phage e11/2] [n=2]; Putative DNA ligase [n=2]; Possible phage DNA ligase [n=2]; possible DNA ligase [n=1]; DNA ligase (ATP) [n=1]; gp32.95 [n=1]; DNA ligase protein [n=1]; ligase [n=1]; adenylation DNA ligase-like protein [n=1]; phage-associated DNA ligase [n=1]; p31 [n=1]; ATP-dependent DNA ligase-like protein [n=1]; gp25 [n=1]; hypothetical protein ORF048 [n=1]; Phi92_gp091 [n=1]; predicted phage DNA ligase [n=1]; putative DNA ligase (ATP) [n=1]; ATP-dependent DNA ligase [Escherichia phage vB_EcoM_FFH2] [n=1]; phage DNA ligase [n=1]; ATP-dependent DNA ligase [Enterobacteria phage 9g] [n=1]; 24 [n=1]; DNA ligase; minimal catalytic domain [n=1]; Gp30 DNA ligase [n=1]; putative DNA ligase gp30 [n=1]; putative DNA ligase (T4 gp30-like) [n=1]; DNA ligase-product DNA complex - adenylate [n=1]; "	"Mapped to: POG0018"	NA	0.1626344086	0.3471637603	0.3190172475
"16"	"VOG0019"	"Bacteria"	238	231	3	6	"RNA polymerase [n=49]; T3/T7-like RNA polymerase [n=33]; DNA-directed RNA polymerase [n=29]; hypothetical protein [n=22]; DNA-dependent RNA polymerase [n=17]; putative RNA polymerase [n=14]; putative DNA-dependent RNA polymerase [n=9]; RNA polymerase subunit [n=6]; No annotation provided [n=6]; putative DNA-dependent RNA polymerase protein [n=5]; gp1 [n=4]; T7-like RNA polymerase [n=3]; DNA-directed RNA polymerase RNAP2 [n=3]; putative DNA-directed RNA polymerase [n=3]; RNA polymerase RNAP2 subunit A [n=3]; RNA polymerase-like protein [n=2]; phage-specific RNA polymerase [n=2]; RNA polymerase subunit 2 [n=2]; N4 gp16-like protein [n=2]; predicted RNA polymerase [n=2]; putative RNAP2 [n=2]; RNA polymerase 2 [n=2]; RNA polymerase large subunit [n=2]; T7-like phage DNA-directed RNA polymerase [n=1]; putative DNA-directed RNA-polymerase [n=1]; putative RNA polymerase subunit [n=1]; N4 RNAP2-like protein [n=1]; predicted phage RNA Polymerase [n=1]; DNA directed RNA polymerase [n=1]; predicted DNA-directed RNA polymerase [n=1]; phage-associated RNA polymerase [n=1]; RNAP2 [n=1]; DNA-directed RNA polymerase, phage-type [n=1]; putative phage RNA polymerase [n=1]; rNA polymerase [n=1]; mitochondrial single-subunit RNA polymerase [n=1]; RNA polymerase subunit A [n=1]; T7 DNA-directed RNA polymerase [n=1]; "	"Union of: POG0019; POG2372"	NA	0.0614919355	0.0038083784	0.941679018
